GHG emissions from food systems (each GHG is expressed in kt CO2eq, GWP-100 AR5) by sector and country, including LULUC which is reported separately.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reference dataset: EDGAR-FOODv6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country_code_A3;Name;C_group_IM24_sh;dev_country;Substance;FOOD_system_stage;Y_1990;Y_1991;Y_1992;Y_1993;Y_1994;Y_1995;Y_1996;Y_1997;Y_1998;Y_1999;Y_2000;Y_2001;Y_2002;Y_2003;Y_2004;Y_2005;Y_2006;Y_2007;Y_2008;Y_2009;Y_2010;Y_2011;Y_2012;Y_2013;Y_2014;Y_2015;Y_2016;Y_2017;Y_2018
BWA;Botswana;10:_Southern_Africa;D;GWP_100_CO2;LULUC (Production);41217,7673;41217,7673;41217,7673;41217,7673;41217,7673;41217,7673;41217,7673;41217,7673;41231,4918;41270,4967;41295,82;41304,4564;41313,0813;41320,5173;41355,8921;41355,8921;41351,131;41351,1262;41356,1777;41341,2965;41337,7281;41334,1659;41334,1659;41334,1659;41327,0084;41327,0084;41332,2136;41328,6421;41328,6421
BWA;Botswana;10:_Southern_Africa;D;GWP_100_N2O;LULUC (Production);65,137;65,137;65,137;65,137;65,137;65,137;65,137;65,137;66,3825;69,9335;72,239;73,0075;73,8025;74,465;77,698;77,698;77,2475;77,2475;77,7245;76,373;76,0285;75,7105;75,7105;75,7105;75,0745;75,0745;75,578;75,26;75,26
CAF;Central African Republic;08:_Western_Africa;D;GWP_100_CO2;LULUC (Production);13962,7059;13962,7059;13962,7059;13962,7059;13962,7059;13962,7059;13962,391;13962,391;13962,6586;13962,942;13962,942;13962,942;13962,942;13962,942;13962,942;13962,942;13965,5711;13966,6731;13967,2241;13967,2241;13967,3265;13970,0815;13971,7345;13971,7345;13973,8127;13973,8127;13979,3231;13981,5269;13982,078
CAF;Central African Republic;08:_Western_Africa;D;GWP_100_CH4;LULUC (Production);8173,6648;8173,6648;8173,6648;8173,6648;8173,6648;8173,6648;1167,572;3376,688;5305,1264;4445,5992;3742,8188;8899,4164;7845,502;12596,066;8153,6028;10970,8928;10333,9124;11377,9484;10649,2316;7349,6052;10120,9808;10794,3696;9774,7748;8471,0948;7177,3072;8051,8704;10892,1232;9180,5336;8860,1296
CAF;Central African Republic;08:_Western_Africa;D;GWP_100_N2O;LULUC (Production);6627,5175;6627,5175;6627,5175;6627,5175;6627,5175;6627,5175;329,607;944,5395;1481,297;1242,1345;1046,5115;7694,911;6784,212;10889,3005;7050,431;9484,9595;8934,7665;9837,065;9207,425;6356,1045;8750,989;9333,141;8452,2545;7325,6865;6207,9165;6963,6435;9418,5505;7939,718;7662,899
CAN;Canada;01:_Canada;I;GWP_100_CO2;LULUC (Production);132785,7193;132785,7193;132785,7193;132785,7193;132784,4517;133032,0433;133072,5329;133098,2638;133251,2414;133402,8233;133558,9928;130274,7923;130309,4147;130309,2099;130337,312;130274,7095;130226,9521;130160,9426;130126,9963;130119,7271;130129,4096;112179,7821;112196,7801;112205,1227;112209,9645;112215,1308;115826,1154;115854,7044;115990,7923
CAN;Canada;01:_Canada;I;GWP_100_N2O;LULUC (Production);4156,419;4156,419;4156,419;4156,419;4156,154;4200,0645;4211,91;4157,7705;4247,8705;4277,7625;4304,1035;4313,6965;4321,1165;4320,5335;4325,065;4310,331;4299,6515;4285,5535;4278,1865;4277,6035;4281,9495;4287,3555;4292,0195;4294,2455;4295,7825;4298,035;4306,621;4312,5835;4348,8885
CHE;Switzerland;11:_OECD_Europe;I;GWP_100_CO2;LULUC (Production);842,3827;842,3827;842,3827;842,3827;841,1055;838,7545;835,7157;832,5977;830,5568;827,2917;827,3753;813,1825;792,238;785,2282;779,653;779,6773;779,4768;779,3585;779,6747;779,6855;780,027;812,1924;812,1924;812,2128;812,3217;812,3217;812,1736;811,9162;810,7166
CHE;Switzerland;11:_OECD_Europe;I;GWP_100_N2O;LULUC (Production);126,5375;126,5375;126,5375;126,5375;126,299;125,981;125,398;124,7355;124,4705;124,2055;124,815;118,7465;114,957;113,8175;112,8635;112,89;112,8105;112,943;112,9165;112,943;113,261;113,95;113,95;114,0295;114,586;114,586;114,48;114,5065;114,427
CHL;Chile;06:_Rest South America;D;GWP_100_CO2;LULUC (Production);3399,197;3399,197;3399,197;3399,197;3399,197;3399,2147;3399,2147;3398,983;3399,6469;3403,0421;3404,3497;393,4438;392,9188;392,5382;392,6654;392,8173;392,6423;392,6672;392,2251;391,0163;391,0772;391,5783;391,1367;391,2146;390,7149;390,7149;394,1212;397,6095;407,244
